Sex,Weight,Percentile,Squat,Squat_LL,Squat_UL,Bench,Bench_LL,Bench_UL,Deadlift,Deadlift_LL,Deadlift_UL
Female,43,10th,1,0.95,1.03,0.63,0.62,0.65,1.33,1.3,1.38
Female,43,20th,1.13,1.11,1.16,0.7,0.69,0.71,1.52,1.48,1.56
Female,43,30th,1.23,1.18,1.26,0.76,0.74,0.77,1.65,1.62,1.69
Female,43,40th,1.33,1.29,1.36,0.82,0.8,0.83,1.78,1.74,1.81
Female,43,50th,1.43,1.4,1.48,0.87,0.84,0.88,1.87,1.85,1.9
Female,43,60th,1.53,1.51,1.58,0.93,0.9,0.94,1.98,1.92,2
Female,43,70th,1.64,1.61,1.69,1,0.96,1.02,2.09,2.04,2.13
Female,43,80th,1.76,1.74,1.82,1.11,1.07,1.14,2.24,2.21,2.31
Female,43,90th,2.01,1.94,2.05,1.25,1.22,1.29,2.48,2.44,2.54
Female,47,10th,1.22,1.19,1.24,0.74,0.74,0.75,1.64,1.61,1.66
Female,47,20th,1.4,1.39,1.42,0.83,0.82,0.85,1.86,1.84,1.88
Female,47,30th,1.55,1.53,1.56,0.91,0.91,0.92,2.03,2.01,2.04
Female,47,40th,1.67,1.66,1.69,0.98,0.98,0.99,2.16,2.15,2.17
Female,47,50th,1.79,1.77,1.81,1.07,1.06,1.08,2.29,2.28,2.31
Female,47,60th,1.92,1.91,1.93,1.15,1.14,1.16,2.42,2.4,2.44
Female,47,70th,2.05,2.03,2.06,1.24,1.23,1.25,2.57,2.56,2.59
Female,47,80th,2.19,2.18,2.21,1.36,1.35,1.38,2.72,2.71,2.74
Female,47,90th,2.4,2.37,2.42,1.58,1.56,1.6,2.96,2.93,2.98
Female,52,10th,1.27,1.26,1.28,0.74,0.74,0.74,1.66,1.64,1.67
Female,52,20th,1.45,1.44,1.46,0.83,0.83,0.84,1.86,1.85,1.87
Female,52,30th,1.59,1.58,1.59,0.91,0.91,0.92,2,1.99,2.01
Female,52,40th,1.69,1.69,1.7,0.97,0.97,0.98,2.13,2.12,2.14
Female,52,50th,1.8,1.79,1.81,1.04,1.03,1.04,2.25,2.24,2.25
Female,52,60th,1.92,1.9,1.93,1.11,1.11,1.11,2.36,2.35,2.37
Female,52,70th,2.03,2.02,2.04,1.19,1.18,1.2,2.5,2.49,2.51
Female,52,80th,2.18,2.17,2.19,1.29,1.28,1.3,2.65,2.64,2.66
Female,52,90th,2.39,2.37,2.4,1.45,1.44,1.46,2.88,2.86,2.89
Female,57,10th,1.26,1.25,1.27,0.72,0.72,0.73,1.64,1.63,1.65
Female,57,20th,1.44,1.43,1.45,0.82,0.81,0.82,1.83,1.82,1.83
Female,57,30th,1.57,1.56,1.58,0.89,0.89,0.89,1.97,1.96,1.97
Female,57,40th,1.68,1.67,1.69,0.95,0.95,0.96,2.09,2.08,2.09
Female,57,50th,1.78,1.78,1.79,1.02,1.01,1.02,2.2,2.19,2.21
Female,57,60th,1.88,1.87,1.89,1.08,1.08,1.08,2.32,2.31,2.32
Female,57,70th,1.99,1.99,2,1.16,1.15,1.16,2.44,2.43,2.45
