Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2024-05-23 22:18:07,"Legs",52s,"Flat Leg Raise",1,0,12,0,0,"","",
2024-05-23 22:18:07,"Legs",52s,"Flat Leg Raise",2,0,12,0,0,,,
2024-05-23 22:18:07,"Legs",52s,"Flat Leg Raise",3,0,12,0,0,,,
2024-05-28 00:01:20,"Midnight Workout",18s,"Bench Press (Barbell)",1,135.0,2,0,0,"","",
2024-05-28 00:01:46,"Midnight Workout",26m,"Incline Bench Press (Dumbbell)",1,25.0,12,0,0,"","",
2024-05-28 00:01:46,"Midnight Workout",26m,"Incline Bench Press (Dumbbell)",2,30.0,12,0,0,,,
2024-05-28 00:01:46,"Midnight Workout",26m,"Incline Bench Press (Dumbbell)",3,35.0,12,0,0,,,
2024-05-28 00:01:46,"Midnight Workout",26m,"Incline Bench Press (Dumbbell)",4,40.0,12,0,0,,,
2024-05-29 12:07:48,"Back and Biceps",1h 5m,"Romanian Deadlift (Barbell)",1,135.0,8,0,0,"","",
2024-05-29 12:07:48,"Back and Biceps",1h 5m,"Romanian Deadlift (Barbell)",2,135.0,3,0,0,,,
2024-05-29 12:07:48,"Back and Biceps",1h 5m,"Romanian Deadlift (Barbell)",3,185.00000000000003,7,0,0,,,
2024-05-29 12:07:48,"Back and Biceps",1h 5m,"Romanian Deadlift (Barbell)",4,205.0,2,0,0,,,
2024-05-29 12:07:48,"Back and Biceps",1h 5m,"Deadlift (Barbell)",1,255.0,1,0,0,"",,
2024-05-29 12:07:48,"Back and Biceps",1h 5m,"Pull Up",1,155.0,1,0,0,"",,
2024-05-29 12:07:48,"Back and Biceps",1h 5m,"Bent Over Row - Underhand (Barbell)",1,45.0,12,0,0,"",,
2024-05-29 12:07:48,"Back and Biceps",1h 5m,"Bent Over Row - Underhand (Barbell)",2,95.0,12,0,0,,,
2024-05-29 12:07:48,"Back and Biceps",1h 5m,"Bent Over Row - Underhand (Barbell)",3,115.0,12,0,0,,,
2024-05-29 12:07:48,"Back and Biceps",1h 5m,"Bent Over Row - Underhand (Barbell)",4,135.0,5,0,0,,,
2024-05-29 12:07:48,"Back and Biceps",1h 5m,"Bicep Curl (Barbell)",1,30.999999999999996,5,0,0,"",,
2024-05-29 12:07:48,"Back and Biceps",1h 5m,"Bicep Curl (Barbell)",2,51.0,12,0,0,,,
2024-05-29 12:07:48,"Back and Biceps",1h 5m,"Bicep Curl (Dumbbell)",1,20.0,12,0,0,"",,
2024-05-29 12:07:48,"Back and Biceps",1h 5m,"Bicep Curl (Dumbbell)",2,25.0,12,0,0,,,
